SIM_WEEK,NEW_SUBJECTS,CUMULATIVE_SUBJECTS,NEW_VS_RECORDS,CUMULATIVE_VS_RECORDS,NEW_AE_RECORDS,CUMULATIVE_QUERIES_OPEN,CUMULATIVE_SAE_COUNT
0,3,3,3,3,0,1,0
1,8,11,8,11,0,1,0
2,2,13,5,16,0,1,0
3,3,16,11,27,0,1,0
4,6,22,11,38,6,2,1
5,9,31,20,58,1,4,1
6,4,35,15,73,1,4,1
7,3,38,23,96,0,6,1
8,10,48,22,118,2,8,1
9,3,51,18,136,2,8,2
10,2,53,25,161,2,8,2
11,6,59,29,190,3,12,2
12,1,60,19,209,1,12,2
13,7,67,22,231,4,12,2
14,3,70,28,259,2,15,2
15,1,71,42,301,3,17,2
16,8,79,22,323,6,18,2
17,1,80,24,347,3,18,2
18,0,80,34,381,1,21,2
19,0,80,30,411,0,23,2
20,0,80,21,432,0,23,2
21,0,80,14,446,0,23,2
22,0,80,29,475,1,23,2
23,0,80,14,489,1,23,2
24,0,80,7,496,0,23,2
25,0,80,13,509,1,23,2
26,0,80,10,519,0,23,2
27,0,80,15,534,0,23,2
28,0,80,6,540,1,23,2
29,0,80,2,542,0,23,2
30,0,80,16,558,0,23,2
31,0,80,2,560,0,23,2
